município,saldomovimentação,mes,ano
110001,5,01,2024
110002,-621,01,2024
110003,-7,01,2024
110004,16,01,2024
110005,62,01,2024
110006,-19,01,2024
110007,61,01,2024
110008,5,01,2024
110009,-16,01,2024
110010,45,01,2024
110011,181,01,2024
110012,216,01,2024
110013,43,01,2024
110014,-7,01,2024
110015,-90,01,2024
110018,62,01,2024
110020,-241,01,2024
110025,-33,01,2024
110026,19,01,2024
110028,207,01,2024
110029,-3,01,2024
110030,231,01,2024
110032,43,01,2024
110033,4,01,2024
110034,5,01,2024
110037,15,01,2024
110040,23,01,2024
110045,2,01,2024
110050,6,01,2024
110060,-7,01,2024
110070,-7,01,2024
110080,55,01,2024
110090,8,01,2024
110092,-17,01,2024
110094,23,01,2024
110100,6,01,2024
110110,16,01,2024
110120,-14,01,2024
110130,1,01,2024
110140,-15,01,2024
110143,-3,01,2024
110145,-3,01,2024
110146,-13,01,2024
110147,-8,01,2024
110148,0,01,2024
110149,-21,01,2024
110150,-2,01,2024
110155,4,01,2024
110160,-11,01,2024
110170,-11,01,2024
110175,2,01,2024
110180,-8,01,2024
120001,13,01,2024
120005,-1,01,2024
120010,11,01,2024
120013,67,01,2024
120017,-30,01,2024
120020,-25,01,2024
120025,23,01,2024
120030,-8,01,2024
120032,-143,01,2024
120033,-1,01,2024
120034,-5,01,2024
120035,5,01,2024
120038,7,01,2024
120039,1,01,2024
120040,-45,01,2024
120042,0,01,2024
120043,1,01,2024
120045,43,01,2024
120050,30,01,2024
120060,1,01,2024
120070,20,01,2024
120080,3,01,2024
130002,0,01,2024
130006,-2,01,2024
130008,-1,01,2024
130014,-2,01,2024
130020,-2,01,2024
130030,-2,01,2024
130040,-12,01,2024
130050,1,01,2024
130060,9,01,2024
130063,1,01,2024
130068,1,01,2024
130070,253,01,2024
130080,-1,01,2024
130083,-1,01,2024
130090,5,01,2024
130100,2,01,2024
130110,2,01,2024
130115,6,01,2024
130120,3,01,2024
130130,-24,01,2024
130140,-1,01,2024
130150,0,01,2024
130160,-1,01,2024
130165,-1,01,2024
130170,41,01,2024
130180,-1,01,2024
130185,44,01,2024
130190,-48,01,2024
130200,-3,01,2024
130220,2,01,2024
130230,-6,01,2024
130240,10,01,2024
130250,-1,01,2024
130255,-5,01,2024
