município,total_2024,mes_10,mes_11,mes_12
110001,37,12,9,-34
110002,249,54,-52,-100
110003,7,3,0,-3
110004,609,3,52,-111
110005,48,-21,11,-3
110006,-31,-9,-24,-3
110007,63,20,-7,-12
110008,51,3,-2,0
110009,135,42,-39,-61
110010,359,0,70,-125
110011,478,5,-37,-88
110012,1405,82,125,-17
110013,-1,12,15,-39
110014,91,-7,-2,-32
110015,40,-31,-26,-51
110018,535,24,12,-6
110020,2682,6,-45,-1036
110025,240,-36,-16,-35
110026,-19,10,2,-1
110028,443,69,-19,-155
110029,26,-4,-4,-17
110030,847,37,-90,-221
110032,76,-8,-25,25
110033,67,-11,-3,10
110034,2,2,-4,9
110037,96,17,1,2
110040,-13,-3,8,-14
110045,-25,-17,-9,-23
110050,-7,-11,-3,-13
110060,-4,-10,-2,-12
110070,30,-1,16,7
110080,-44,8,-15,-21
110090,-16,2,-5,0
110092,-27,-3,-10,-39
110094,-29,-28,-30,-15
110100,62,-15,-1,-5
110110,2,-20,-69,-14
110120,69,3,-27,-6
110130,-11,-5,-3,-8
110140,-3,-10,-7,-7
110143,38,-2,3,-23
110145,32,11,-7,-13
110146,8,8,-11,6
110147,-2,4,-3,-2
110148,-46,-8,0,-1
110149,8,-13,-50,15
110150,42,0,6,2
110155,15,6,0,1
110160,12,7,-3,7
110170,-10,-14,6,5
110175,15,1,-2,2
110180,56,-7,1,-25
120001,100,-4,14,6
120005,25,5,1,-3
120010,196,-10,33,11
120013,172,4,-21,38
120017,-6,-1,-10,3
120020,355,-24,-18,-111
120025,-36,-18,-12,-45
120030,12,1,-1,-21
120032,-65,5,-3,-10
120033,64,-10,2,-12
120034,-8,-22,1,-5
120035,19,3,2,3
120038,156,-29,-6,-67
120039,7,4,0,0
120040,4157,327,-110,-379
120042,8,0,-2,0
120043,-7,4,-1,0
120045,213,-19,-34,21
120050,630,-43,-194,-105
120060,-1,-20,-8,-3
120070,28,8,5,-44
120080,-20,-14,-10,-12
130002,-4,0,1,-2
130006,-1,0,0,0
130008,0,0,0,0
130014,37,-1,-4,-12
130020,-3,0,-2,-4
130030,67,15,24,-15
130040,-42,1,-4,-1
130050,25,3,10,7
130060,13,-6,-8,1
130063,8,0,1,3
130068,0,0,0,1
130070,242,12,-16,7
130080,38,8,3,-4
130083,0,-4,-16,-3
130090,12,-2,1,-2
130100,32,-20,3,0
130110,14,-4,-5,2
130115,-17,-14,0,-4
130120,-24,1,-5,-51
130130,-45,-3,-7,-10
130140,-21,5,-2,-2
130150,58,0,2,-4
130160,14,-5,-2,1
130165,-7,1,-2,2
130170,187,15,11,-56
130180,0,2,0,0
